wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 1 | Winner: -1 | Loss: 0.0000 | Steps: 36
Game 2 | Winner: 1 | Loss: 3.3836 | Steps: 33
Game 3 | Winner: 1 | Loss: 2.7054 | Steps: 35
Game 4 | Winner: 1 | Loss: 2.2979 | Steps: 35
Game 5 | Winner: -1 | Loss: 2.0321 | Steps: 34
Game 6 | Winner: 1 | Loss: 2.3061 | Steps: 35
Game 7 | Winner: 1 | Loss: 2.4858 | Steps: 35
Game 8 | Winner: -1 | Loss: 2.1963 | Steps: 36
Game 9 | Winner: 1 | Loss: 2.4689 | Steps: 35
Game 10 | Winner: -1 | Loss: 2.2620 | Steps: 36
Game 11 | Winner: 0 | Loss: 2.5007 | Steps: 36
Game 12 | Winner: -1 | Loss: 2.5970 | Steps: 34
Game 13 | Winner: 1 | Loss: 2.5646 | Steps: 35
Game 14 | Winner: -1 | Loss: 2.6373 | Steps: 36
Game 15 | Winner: -1 | Loss: 2.6255 | Steps: 36
Game 16 | Winner: -1 | Loss: 2.7074 | Steps: 36
Game 17 | Winner: -1 | Loss: 3.0344 | Steps: 34
Game 18 | Winner: 1 | Loss: 2.4291 | Steps: 35
Game 19 | Winner: -1 | Loss: 2.3538 | Steps: 30
Game 20 | Winner: -1 | Loss: 2.4904 | Steps: 32
Game 21 | Winner: 0 | Loss: 2.5059 | Steps: 36
Game 22 | Winner: 1 | Loss: 2.8827 | Steps: 35
Game 23 | Winner: -1 | Loss: 2.8669 | Steps: 32
Game 24 | Winner: -1 | Loss: 2.8619 | Steps: 36
Game 25 | Winner: 1 | Loss: 2.7341 | Steps: 33
Game 26 | Winner: 0 | Loss: 2.7368 | Steps: 36
Game 27 | Winner: -1 | Loss: 2.7350 | Steps: 36
Game 28 | Winner: 1 | Loss: 2.9631 | Steps: 35
Game 29 | Winner: 1 | Loss: 3.0042 | Steps: 35
Game 30 | Winner: 1 | Loss: 2.8823 | Steps: 33
Game 31 | Winner: 1 | Loss: 2.6607 | Steps: 35
Game 32 | Winner: -1 | Loss: 2.8568 | Steps: 34
Game 33 | Winner: -1 | Loss: 3.0140 | Steps: 32
Game 34 | Winner: -1 | Loss: 2.8689 | Steps: 34
Game 35 | Winner: -1 | Loss: 2.9474 | Steps: 34
Game 36 | Winner: 1 | Loss: 3.1843 | Steps: 33
Game 37 | Winner: 1 | Loss: 2.9742 | Steps: 33
Game 38 | Winner: 0 | Loss: 3.0060 | Steps: 36
Game 39 | Winner: -1 | Loss: 3.0197 | Steps: 34
Game 40 | Winner: -1 | Loss: 3.0414 | Steps: 32
Game 41 | Winner: 1 | Loss: 3.0854 | Steps: 35
Game 42 | Winner: -1 | Loss: 2.8880 | Steps: 34
Game 43 | Winner: 0 | Loss: 3.2216 | Steps: 36
Game 44 | Winner: 1 | Loss: 3.0404 | Steps: 35
Game 45 | Winner: -1 | Loss: 2.8554 | Steps: 36
Game 46 | Winner: 1 | Loss: 3.0260 | Steps: 35
Game 47 | Winner: 0 | Loss: 2.7524 | Steps: 36
Game 48 | Winner: -1 | Loss: 2.8602 | Steps: 34
Game 49 | Winner: 1 | Loss: 2.9038 | Steps: 35
Game 50 | Winner: 1 | Loss: 3.1413 | Steps: 35
Game 51 | Winner: 1 | Loss: 2.7203 | Steps: 35
Game 52 | Winner: 1 | Loss: 3.1571 | Steps: 35
Game 53 | Winner: -1 | Loss: 2.8455 | Steps: 36
Game 54 | Winner: 1 | Loss: 2.8474 | Steps: 29
Game 55 | Winner: 1 | Loss: 3.1782 | Steps: 35
Game 56 | Winner: -1 | Loss: 3.0895 | Steps: 36
Game 57 | Winner: 0 | Loss: 2.7182 | Steps: 36
Game 58 | Winner: 0 | Loss: 3.0076 | Steps: 36
Game 59 | Winner: -1 | Loss: 3.2458 | Steps: 36
Game 60 | Winner: 0 | Loss: 2.9236 | Steps: 36
Game 61 | Winner: 1 | Loss: 2.9577 | Steps: 35
Game 62 | Winner: -1 | Loss: 2.7333 | Steps: 34
Game 63 | Winner: 1 | Loss: 3.2511 | Steps: 35
Game 64 | Winner: -1 | Loss: 2.9275 | Steps: 14
Game 65 | Winner: 1 | Loss: 3.0848 | Steps: 33
Game 66 | Winner: 1 | Loss: 3.0527 | Steps: 33
Game 67 | Winner: -1 | Loss: 3.0355 | Steps: 36
Game 68 | Winner: 1 | Loss: 2.8478 | Steps: 35
Game 69 | Winner: -1 | Loss: 2.7580 | Steps: 36
Game 70 | Winner: -1 | Loss: 3.0896 | Steps: 32
Game 71 | Winner: 1 | Loss: 3.0204 | Steps: 35
Game 72 | Winner: 1 | Loss: 3.1876 | Steps: 35
Game 73 | Winner: -1 | Loss: 3.2382 | Steps: 36
Game 74 | Winner: 1 | Loss: 3.2256 | Steps: 33
Game 75 | Winner: -1 | Loss: 3.1664 | Steps: 32
Game 76 | Winner: 1 | Loss: 3.0371 | Steps: 33
Game 77 | Winner: -1 | Loss: 3.1176 | Steps: 36
Game 78 | Winner: -1 | Loss: 3.0758 | Steps: 12
Game 79 | Winner: -1 | Loss: 2.7845 | Steps: 36
Game 80 | Winner: -1 | Loss: 2.8486 | Steps: 36
Game 81 | Winner: -1 | Loss: 2.8079 | Steps: 36
Game 82 | Winner: 0 | Loss: 2.8281 | Steps: 36
Game 83 | Winner: -1 | Loss: 2.7962 | Steps: 36
Game 84 | Winner: -1 | Loss: 3.1220 | Steps: 36
Game 85 | Winner: -1 | Loss: 2.9479 | Steps: 34
Game 86 | Winner: -1 | Loss: 3.1987 | Steps: 32
